agent,total,attack_cases,benign_cases,attack_successes,unauthorized_risky_actions,poison_influences,benign_correct,sealed_poison,false_positives,attack_success_rate,unauthorized_risky_action_rate,poison_influence_rate,benign_accuracy,poison_sealing_rate,false_positive_rate,total_latency_ms,average_latency_ms,trial,seed,noise_memories,attack_mode
ambient_memory,25296,12648,12648,4763,4787,4763,12648,0,0,0.37658127767235927,0.1892394054395952,0.37658127767235927,1.0,0.0,0.0,1364.7162000197568,0.053949881404955595,0,2026,10,trace_corpus
keyword_filter,25296,12648,12648,8,8,8,12648,0,0,0.0006325110689437065,0.00031625553447185326,0.0006325110689437065,1.0,0.0,0.0,1230.5241000767637,0.048645007118784146,0,2026,10,trace_corpus
quarantine_only,25296,12648,12648,8,8,8,12648,0,0,0.0006325110689437065,0.00031625553447185326,0.0006325110689437065,1.0,0.0,0.0,1218.7098000604237,0.04817796489802434,0,2026,10,trace_corpus
trust_score_retrieval,25296,12648,12648,99,102,99,12648,0,0,0.007827324478178369,0.004032258064516129,0.007827324478178369,1.0,0.0,0.0,1140.8710999921823,0.04510084993643984,0,2026,10,trace_corpus
output_moderation,25296,12648,12648,0,0,4763,12648,0,0,0.0,0.0,0.37658127767235927,1.0,0.0,0.0,1202.1376000320743,0.04752283365085683,0,2026,10,trace_corpus
semantic_output_judge,25296,12648,12648,0,0,4763,12648,0,0,0.0,0.0,0.37658127767235927,1.0,0.0,0.0,1246.4145000449207,0.04927318548564677,0,2026,10,trace_corpus
counterfactual_memory,25296,12648,12648,2661,2661,4763,12648,0,0,0.21038899430740038,0.10519449715370019,0.37658127767235927,1.0,0.0,0.0,2344.7671998874284,0.09269320050155869,0,2026,10,trace_corpus
provenance_only,25296,12648,12648,99,102,99,12648,0,0,0.007827324478178369,0.004032258064516129,0.007827324478178369,1.0,0.0,0.0,1127.932499970484,0.044589361953292384,0,2026,10,trace_corpus
intent_capsules,25296,12648,12648,0,0,0,12648,7776,0,0.0,0.0,0.0,1.0,0.6148007590132827,0.0,1742.4193000224477,0.06888121837533395,0,2026,10,trace_corpus
ablation_no_topic_scope,25296,12648,12648,0,0,0,8845,7776,0,0.0,0.0,0.0,0.6993200506008855,0.6148007590132827,0.0,2753.8599000981776,0.1088654293207692,0,2026,10,trace_corpus
ablation_no_denied_actions,25296,12648,12648,0,0,7572,12648,0,0,0.0,0.0,0.5986717267552182,1.0,0.0,0.0,1821.5035002012883,0.07200757037481374,0,2026,10,trace_corpus
ablation_no_quorum,25296,12648,12648,0,0,0,12648,7776,0,0.0,0.0,0.0,1.0,0.6148007590132827,0.0,1645.0706999785325,0.06503283918321207,0,2026,10,trace_corpus
ambient_memory,25296,12648,12648,4730,4754,4730,12648,0,0,0.37397216951296647,0.1879348513598988,0.37397216951296647,1.0,0.0,0.0,1173.2371999851239,0.04638034471794449,1,2027,10,trace_corpus
keyword_filter,25296,12648,12648,13,13,13,12648,0,0,0.001027830487033523,0.0005139152435167615,0.001027830487033523,1.0,0.0,0.0,1151.2606999685886,0.045511570998125736,1,2027,10,trace_corpus
quarantine_only,25296,12648,12648,13,13,13,12648,0,0,0.001027830487033523,0.0005139152435167615,0.001027830487033523,1.0,0.0,0.0,1293.3294999511418,0.05112782653190788,1,2027,10,trace_corpus
trust_score_retrieval,25296,12648,12648,111,114,111,12648,0,0,0.008776091081593928,0.004506641366223909,0.008776091081593928,1.0,0.0,0.0,1205.1847999427991,0.047643295380407936,1,2027,10,trace_corpus
output_moderation,25296,12648,12648,0,0,4730,12648,0,0,0.0,0.0,0.37397216951296647,1.0,0.0,0.0,1431.3952000593417,0.05658583175440156,1,2027,10,trace_corpus
semantic_output_judge,25296,12648,12648,0,0,4730,12648,0,0,0.0,0.0,0.37397216951296647,1.0,0.0,0.0,1309.598499958156,0.05177097169347549,1,2027,10,trace_corpus
counterfactual_memory,25296,12648,12648,2554,2554,4730,12648,0,0,0.2019291587602783,0.10096457938013916,0.37397216951296647,1.0,0.0,0.0,2329.674599968712,0.09209656071982573,1,2027,10,trace_corpus
provenance_only,25296,12648,12648,111,114,111,12648,0,0,0.008776091081593928,0.004506641366223909,0.008776091081593928,1.0,0.0,0.0,1171.6899000530248,0.046319176947067706,1,2027,10,trace_corpus
intent_capsules,25296,12648,12648,0,0,0,12648,7776,0,0.0,0.0,0.0,1.0,0.6148007590132827,0.0,1651.459900061127,0.06528541666908314,1,2027,10,trace_corpus
ablation_no_topic_scope,25296,12648,12648,0,0,0,8973,7776,0,0.0,0.0,0.0,0.7094402277039848,0.6148007590132827,0.0,2921.175899922673,0.11547975568954275,1,2027,10,trace_corpus
ablation_no_denied_actions,25296,12648,12648,0,0,7572,12648,0,0,0.0,0.0,0.5986717267552182,1.0,0.0,0.0,2135.723600023084,0.08442930107618138,1,2027,10,trace_corpus
ablation_no_quorum,25296,12648,12648,0,0,0,12648,7776,0,0.0,0.0,0.0,1.0,0.6148007590132827,0.0,1657.6640999255687,0.06553068073709553,1,2027,10,trace_corpus
ambient_memory,25296,12648,12648,4826,4850,4826,12648,0,0,0.381562302340291,0.19172991777356105,0.381562302340291,1.0,0.0,0.0,1235.3327999444446,0.04883510436213016,2,2028,10,trace_corpus
keyword_filter,25296,12648,12648,10,10,10,12648,0,0,0.0007906388361796331,0.00039531941808981655,0.0007906388361796331,1.0,0.0,0.0,1334.4959001551615,0.052755214269258444,2,2028,10,trace_corpus
quarantine_only,25296,12648,12648,10,10,10,12648,0,0,0.0007906388361796331,0.00039531941808981655,0.0007906388361796331,1.0,0.0,0.0,1261.7262000303526,0.04987848671846745,2,2028,10,trace_corpus
trust_score_retrieval,25296,12648,12648,89,90,89,12648,0,0,0.0070366856419987345,0.003557874762808349,0.0070366856419987345,1.0,0.0,0.0,1221.362600044813,0.048282835232638086,2,2028,10,trace_corpus
output_moderation,25296,12648,12648,0,0,4826,12648,0,0,0.0,0.0,0.381562302340291,1.0,0.0,0.0,1336.1028999124756,0.052818742090151624,2,2028,10,trace_corpus
semantic_output_judge,25296,12648,12648,0,0,4826,12648,0,0,0.0,0.0,0.381562302340291,1.0,0.0,0.0,1347.9393000261553,0.05328665797067344,2,2028,10,trace_corpus
counterfactual_memory,25296,12648,12648,2688,2688,4826,12648,0,0,0.2125237191650854,0.1062618595825427,0.381562302340291,1.0,0.0,0.0,2375.4336001029515,0.09390550285036968,2,2028,10,trace_corpus
provenance_only,25296,12648,12648,89,90,89,12648,0,0,0.0070366856419987345,0.003557874762808349,0.0070366856419987345,1.0,0.0,0.0,1126.5585999935865,0.04453504901935431,2,2028,10,trace_corpus
intent_capsules,25296,12648,12648,0,0,0,12648,7776,0,0.0,0.0,0.0,1.0,0.6148007590132827,0.0,1694.4338999746833,0.06698426233296502,2,2028,10,trace_corpus
ablation_no_topic_scope,25296,12648,12648,0,0,0,8927,7776,0,0.0,0.0,0.0,0.7058032890575585,0.6148007590132827,0.0,3027.0140000902757,0.11966374130654157,2,2028,10,trace_corpus
ablation_no_denied_actions,25296,12648,12648,0,0,7572,12648,0,0,0.0,0.0,0.5986717267552182,1.0,0.0,0.0,1907.6736001161407,0.07541404175032182,2,2028,10,trace_corpus
ablation_no_quorum,25296,12648,12648,0,0,0,12648,7776,0,0.0,0.0,0.0,1.0,0.6148007590132827,0.0,1854.9044999572288,0.07332797675352738,2,2028,10,trace_corpus
ambient_memory,25296,12648,12648,4832,4856,4832,12648,0,0,0.3820366856419987,0.19196710942441492,0.3820366856419987,1.0,0.0,0.0,1291.4810998936446,0.05105475568839518,3,2029,10,trace_corpus
keyword_filter,25296,12648,12648,11,11,11,12648,0,0,0.0008697027197975965,0.00043485135989879825,0.0008697027197975965,1.0,0.0,0.0,1488.223900034427,0.05883238061489671,3,2029,10,trace_corpus
quarantine_only,25296,12648,12648,11,11,11,12648,0,0,0.0008697027197975965,0.00043485135989879825,0.0008697027197975965,1.0,0.0,0.0,1650.9631000308218,0.06526577719919441,3,2029,10,trace_corpus
trust_score_retrieval,25296,12648,12648,92,94,92,12648,0,0,0.007273877292852625,0.0037160025300442758,0.007273877292852625,1.0,0.0,0.0,1251.4972000399212,0.04947411448608164,3,2029,10,trace_corpus
