agent,trials,attack_success_rate_mean,attack_success_rate_ci95,unauthorized_risky_action_rate_mean,unauthorized_risky_action_rate_ci95,poison_influence_rate_mean,poison_influence_rate_ci95,benign_accuracy_mean,benign_accuracy_ci95,poison_sealing_rate_mean,poison_sealing_rate_ci95,false_positive_rate_mean,false_positive_rate_ci95,average_latency_ms_mean,average_latency_ms_ci95
ablation_no_denied_actions,5,0.0,0.0,0.0,0.0,0.5986717267552182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07558077878224131,0.0046033521878027905
ablation_no_quorum,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6148007590132827,0.0,0.0,0.0,0.06766952087267854,0.0044705715707162854
ablation_no_topic_scope,5,0.0,0.0,0.0,0.0,0.0,0.0,0.7061195445920304,0.0051972291815128415,0.6148007590132827,0.0,0.0,0.0,0.11717098118351847,0.008730275970178827
ambient_memory,5,0.3783839342188488,0.0029898247603410396,0.19014073371283996,0.0014949123801705198,0.3783839342188488,0.0029898247603410396,1.0,0.0,0.0,0.0,0.0,0.0,0.049768871757320234,0.002509966671520373
counterfactual_memory,5,0.20929791271347248,0.004355432297167634,0.10464895635673624,0.002177716148583817,0.3783839342188488,0.0029898247603410396,1.0,0.0,0.0,0.0,0.0,0.0,0.09696631166983115,0.00962010409653034
intent_capsules,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6148007590132827,0.0,0.0,0.0,0.07041811353444777,0.005691592138880337
keyword_filter,5,0.0008064516129032258,0.0001333061157764354,0.0004032258064516129,6.66530578882177e-05,0.0008064516129032258,0.0001333061157764354,1.0,0.0,0.0,0.0,0.0,0.0,0.05073710072995817,0.004577883802009621
output_moderation,5,0.0,0.0,0.0,0.0,0.3783839342188488,0.0029898247603410396,1.0,0.0,0.0,0.0,0.0,0.0,0.054376194655747216,0.005383575194601471
provenance_only,5,0.007827324478178369,0.0006179207462564625,0.004000632511068944,0.0003309151387410085,0.007827324478178369,0.0006179207462564625,1.0,0.0,0.0,0.0,0.0,0.0,0.049004741461226464,0.005031057691740229
quarantine_only,5,0.0008064516129032258,0.0001333061157764354,0.0004032258064516129,6.66530578882177e-05,0.0008064516129032258,0.0001333061157764354,1.0,0.0,0.0,0.0,0.0,0.0,0.05231457858956914,0.00648789927517883
semantic_output_judge,5,0.0,0.0,0.0,0.0,0.3783839342188488,0.0029898247603410396,1.0,0.0,0.0,0.0,0.0,0.0,0.05399176549666839,0.005109420622930203
trust_score_retrieval,5,0.007827324478178369,0.0006179207462564625,0.004000632511068944,0.0003309151387410085,0.007827324478178369,0.0006179207462564625,1.0,0.0,0.0,0.0,0.0,0.0,0.04774468690657458,0.0014207519056886994
